fips,county_name,variable,value
01001,"Autauga County, Alabama",total_pop_18plus,42175
01001,"Autauga County, Alabama",prop_white,0.7679126038280968
01001,"Autauga County, Alabama",prop_foreign_born,0.028595139300533493
01001,"Autauga County, Alabama",median_age,38.2
01001,"Autauga County, Alabama",median_income,58731
01001,"Autauga County, Alabama",median_rent,986
01001,"Autauga County, Alabama",prop_less_than_hs,0.11483394438943453
01001,"Autauga County, Alabama",prop_bachelor_above,0.26571573848582974
01001,"Autauga County, Alabama",prop_unemployed,0.02129547471162378
01001,"Autauga County, Alabama",prop_nilf,0.4105521807385161
01001,"Autauga County, Alabama",prop_health_insurance,0.9293151488488048
01001,"Autauga County, Alabama",prop_low_ratio_ip,0.16449986733881666
01003,"Baldwin County, Alabama",total_pop_18plus,166595
01003,"Baldwin County, Alabama",prop_white,0.8620542216792746
01003,"Baldwin County, Alabama",prop_foreign_born,0.04264233620456796
01003,"Baldwin County, Alabama",median_age,43
01003,"Baldwin County, Alabama",median_income,58320
01003,"Baldwin County, Alabama",median_rent,1020
01003,"Baldwin County, Alabama",prop_less_than_hs,0.09193842977394251
01003,"Baldwin County, Alabama",prop_bachelor_above,0.31862459632590395
01003,"Baldwin County, Alabama",prop_unemployed,0.024527414870833503
01003,"Baldwin County, Alabama",prop_nilf,0.4225378271240939
01003,"Baldwin County, Alabama",prop_health_insurance,0.9111813794251207
01003,"Baldwin County, Alabama",prop_low_ratio_ip,0.10451306413301663
01005,"Barbour County, Alabama",total_pop_18plus,20054
01005,"Barbour County, Alabama",prop_white,0.46800205039233467
01005,"Barbour County, Alabama",prop_foreign_born,0.03246235165054353
01005,"Barbour County, Alabama",median_age,40.4
01005,"Barbour County, Alabama",median_income,32525
01005,"Barbour County, Alabama",median_rent,576
01005,"Barbour County, Alabama",prop_less_than_hs,0.2678690714762859
01005,"Barbour County, Alabama",prop_bachelor_above,0.11578712981518592
01005,"Barbour County, Alabama",prop_unemployed,0.041141694126768755
01005,"Barbour County, Alabama",prop_nilf,0.5511727078891258
01005,"Barbour County, Alabama",prop_health_insurance,0.8868075639599555
01005,"Barbour County, Alabama",prop_low_ratio_ip,0.3054792306449006
01007,"Bibb County, Alabama",total_pop_18plus,17862
01007,"Bibb County, Alabama",prop_white,0.7678833414840173
01007,"Bibb County, Alabama",prop_foreign_born,0.01903482252827231
01007,"Bibb County, Alabama",median_age,40.9
01007,"Bibb County, Alabama",median_income,47542
01007,"Bibb County, Alabama",median_rent,734
01007,"Bibb County, Alabama",prop_less_than_hs,0.20942602671944582
01007,"Bibb County, Alabama",prop_bachelor_above,0.10378525482434438
01007,"Bibb County, Alabama",prop_unemployed,0.03563703223015358
01007,"Bibb County, Alabama",prop_nilf,0.5108154877784988
01007,"Bibb County, Alabama",prop_health_insurance,0.8933210546723537
01007,"Bibb County, Alabama",prop_low_ratio_ip,0.2023386928377532
01009,"Blount County, Alabama",total_pop_18plus,44292
01009,"Blount County, Alabama",prop_white,0.9545951006397254
01009,"Blount County, Alabama",prop_foreign_born,0.054885758150456064
01009,"Blount County, Alabama",median_age,40.7
01009,"Blount County, Alabama",median_income,49358
01009,"Blount County, Alabama",median_rent,667
01009,"Blount County, Alabama",prop_less_than_hs,0.19509436807318237
01009,"Blount County, Alabama",prop_bachelor_above,0.13093413083360558
01009,"Blount County, Alabama",prop_unemployed,0.01662055895615048
01009,"Blount County, Alabama",prop_nilf,0.5051952861219422
01009,"Blount County, Alabama",prop_health_insurance,0.8923571665763672
01009,"Blount County, Alabama",prop_low_ratio_ip,0.1427322845233293
01011,"Bullock County, Alabama",total_pop_18plus,8120
01011,"Bullock County, Alabama",prop_white,0.2189695550351288
01011,"Bullock County, Alabama",prop_foreign_born,0.008866995073891626
01011,"Bullock County, Alabama",median_age,40.2
01011,"Bullock County, Alabama",median_income,37785
01011,"Bullock County, Alabama",median_rent,654
01011,"Bullock County, Alabama",prop_less_than_hs,0.25320377411632167
01011,"Bullock County, Alabama",prop_bachelor_above,0.12054640191522321
01011,"Bullock County, Alabama",prop_unemployed,0.020776119402985075
01011,"Bullock County, Alabama",prop_nilf,0.4635223880597015
01011,"Bullock County, Alabama",prop_health_insurance,0.8862645717181956
01011,"Bullock County, Alabama",prop_low_ratio_ip,0.28873801916932906
01013,"Butler County, Alabama",total_pop_18plus,15373
01013,"Butler County, Alabama",prop_white,0.5184587452087956
01013,"Butler County, Alabama",prop_foreign_born,0.009302023027385677
01013,"Butler County, Alabama",median_age,40.8
01013,"Butler County, Alabama",median_income,40688
01013,"Butler County, Alabama",median_rent,620
01013,"Butler County, Alabama",prop_less_than_hs,0.14950430566611186
01013,"Butler County, Alabama",prop_bachelor_above,0.16137202402489326
01013,"Butler County, Alabama",prop_unemployed,0.036523055573077653
01013,"Butler County, Alabama",prop_nilf,0.4625622910490128
01013,"Butler County, Alabama",prop_health_insurance,0.9132971644999488
01013,"Butler County, Alabama",prop_low_ratio_ip,0.21403832833063957
01015,"Calhoun County, Alabama",total_pop_18plus,89666
01015,"Calhoun County, Alabama",prop_white,0.7366992967945698
01015,"Calhoun County, Alabama",prop_foreign_born,0.03196306292240091
01015,"Calhoun County, Alabama",median_age,39.6
01015,"Calhoun County, Alabama",median_income,47255
01015,"Calhoun County, Alabama",median_rent,716
01015,"Calhoun County, Alabama",prop_less_than_hs,0.1556732568134702
01015,"Calhoun County, Alabama",prop_bachelor_above,0.18481063862061992
01015,"Calhoun County, Alabama",prop_unemployed,0.04532437611696057
01015,"Calhoun County, Alabama",prop_nilf,0.43291777016988564
01015,"Calhoun County, Alabama",prop_health_insurance,0.9048593758307193
01015,"Calhoun County, Alabama",prop_low_ratio_ip,0.1909212283044059
01017,"Chambers County, Alabama",total_pop_18plus,26595
01017,"Chambers County, Alabama",prop_white,0.5770350564468212
01017,"Chambers County, Alabama",prop_foreign_born,0.021018988531678887
01017,"Chambers County, Alabama",median_age,42
01017,"Chambers County, Alabama",median_income,42289
01017,"Chambers County, Alabama",median_rent,749
01017,"Chambers County, Alabama",prop_less_than_hs,0.18378242044642482
01017,"Chambers County, Alabama",prop_bachelor_above,0.13296061204758503
01017,"Chambers County, Alabama",prop_unemployed,0.022260336459511733
01017,"Chambers County, Alabama",prop_nilf,0.4344049921541437
